1943-07-01,"		108",26,17,35.8
1943-08-01,"		108",27.8,15.4,38.2
1943-09-01,"		108",20.9,8.5,33.4
1943-10-01,"		108",13.8,1.8,25.3
1943-11-01,"		108",6.1,-9.2,22.7
1943-12-01,"		108",0,-11.6,14.2
1944-01-01,"		108",-4.3,-16.2,8
1944-02-01,"		108",-2.4,-13.4,9.7
1944-03-01,"		108",3.2,-6.6,18.2
1944-04-01,"		108",9.6,-0.9,23.4
1944-05-01,"		108",15.9,4.6,29.3
1944-06-01,"		108",21.4,12.3,34.3
1944-07-01,"		108",25.3,15.2,36
1944-08-01,"		108",25.5,15,35.8
1944-09-01,"		108",20.7,10.1,30.5
1944-10-01,"		108",13.5,1.8,25.8
1944-11-01,"		108",7.8,-4.1,23.4
1944-12-01,"		108",-5.7,-15.5,7.2
1945-01-01,"		108",-7.8,-19.1,6.2
1945-02-01,"		108",-4.9,-15.6,11.2
1945-03-01,"		108",2.3,-8.9,14.7
1945-04-01,"		108",11,-1.2,28.9
1945-05-01,"		108",13.6,2.7,29.2
1945-06-01,"		108",20.1,10.7,31.5
1945-07-01,"		108",23.2,16,32.3
1945-08-01,"		108",25.5,16.5,37
1945-09-01,"		108",21.3,12.6,30
1945-10-01,"		108",13.5,0,25.3
1945-11-01,"		108",8.4,-4.2,21.8
1945-12-01,"		108",-1.7,-14,12.7
1946-01-01,"		108",-3.2,-15.6,10.5
1946-02-01,"		108",-0.7,-12.2,10.5
1946-03-01,"		108",2.5,-10.7,18.6
1946-04-01,"		108",10.9,0.2,27.3
1946-05-01,"		108",16,6.8,29.8
1946-06-01,"		108",20.9,13.4,32.4
1946-07-01,"		108",25.6,18.4,36.7
1946-08-01,"		108",25.7,18.9,35.5
1946-09-01,"		108",19.9,9.2,30.7
1946-10-01,"		108",13.8,0.4,29.9
1946-11-01,"		108",8.8,-7.3,22.1
1946-12-01,"		108",-4.3,-17,8.7
1947-01-01,"		108",-3.9,-15.1,7.1
1947-02-01,"		108",-5.3,-17.2,8.4
1947-03-01,"		108",1.5,-10.6,16
1947-04-01,"		108",10.5,-1,24.2
1947-05-01,"		108",15.9,7.2,28.2
1947-06-01,"		108",18.7,10.3,27.5
1947-07-01,"		108",22.9,17,33.1
1947-08-01,"		108",25.1,17,33.5
1947-09-01,"		108",19.6,10.1,29.9
1947-10-01,"		108",11.8,-1.6,24.7
1947-11-01,"		108",3.5,-11.8,17.9
1947-12-01,"		108",-5.4,-17.3,7.1
1948-01-01,"		108",-4.5,-18,10.5
