시군구명,line,역명,lat,lng
중구,02호선,을지로입구,37.566014,126.982618
중구,02호선,을지로3가,37.566295,126.99191
중구,02호선,을지로4가,37.566941,126.998079
중구,02호선,동대문역사문화공원,37.565138,127.007896
중구,02호선,신당,37.565972,127.01782
중구,03호선,동대입구,37.559052,127.005602
중구,03호선,약수,37.55434,127.010655
중구,03호선,충무로,37.561243,126.99428
중구,04호선,명동,37.560989,126.986325
중구,04호선,회현,37.558514,126.978246
중구,05호선,청구,37.560245,127.013828
중구,06호선,버티고개,37.548013,127.007055
중랑구,06호선,봉화산,37.617283,127.091401
중랑구,06호선,신내,37.612887,127.103218
중랑구,07호선,사가정,37.580894,127.088478
중랑구,07호선,용마산,37.573647,127.086727
중랑구,07호선,중화,37.602545,127.079264
중랑구,07호선,상봉,37.596362,127.085032
중랑구,07호선,면목,37.588579,127.087503
중랑구,07호선,먹골,37.610637,127.077725
중랑구,경의선,중랑,37.594917,127.076116
중랑구,경의선,망우,37.59955,127.091909
